image_id,box0,box1,box2,box3,idx,action
64,1313.017027,519.8418507,26.32232642,48.90984736,22,0
65,1462.65638,745.4319822,64.66574236,138.8120274,1,1
65,1376.828522,734.59834,63.19384795,160.5564397,2,1
65,1554.225831,706.5483194,35.10535766,63.70588543,21,0
66,1460.822291,741.8768517,64.93510547,142.9384747,1,1
66,1377.967265,736.0552299,62.24242754,156.4645287,2,1
66,1552.689386,708.0159694,34.4689667,61.13305166,21,0
67,1462.101489,742.2581928,63.49594917,142.2616016,1,1
67,1378.520704,735.3678842,62.32029327,155.7219458,2,1
67,1552.124076,706.5759952,35.51740996,62.78647783,21,0
68,1462.169942,741.0215511,63.5953153,143.4190004,1,1
68,1378.397675,735.3052593,63.49678919,157.5391076,2,1
68,1552.377424,706.6547118,36.24907365,63.61567295,21,0
68,1314.60588,521.0087231,25.27919946,47.07676199,22,0
69,1461.345381,738.8577967,64.21037769,144.7397574,1,1
69,1377.141199,735.9198307,64.77032591,159.507043,2,1
69,1550.687277,707.8008162,36.99628186,64.19861423,21,0
70,1460.584493,738.3533896,64.66215607,145.9424753,1,1
70,1375.925199,734.7827234,66.32308928,163.6009173,2,1
70,1549.633362,707.5810773,37.25895256,64.07105722,21,0
70,1298.899582,522.2041246,18.2277884,36.10511344,5,0
70,1312.443412,519.7053133,26.42224776,49.24183033,22,0
71,1460.918575,734.3038575,66.97749143,151.2864771,1,1
71,1376.738305,734.3039,66.80265835,165.7805663,2,1
71,1551.113389,705.6394722,38.1811249,65.19085053,21,0
72,1459.403547,734.6943356,66.35451597,150.4896136,1,1
72,1378.384166,740.2280237,65.59396677,162.8469634,2,1
72,1549.207366,705.8652832,39.32240865,67.01111525,21,0
73,1458.067806,731.3451391,65.63857277,149.7010873,1,1
73,1379.405196,743.1369396,65.08934382,161.3207384,2,1
73,1549.116075,706.2332348,39.60533885,67.1715658,21,0
73,1298.496097,522.3701712,18.69729429,37.2757477,5,0
73,1313.878612,521.2017905,23.94434591,45.15241901,22,0
74,1456.623983,732.9199918,64.23000974,146.7693502,1,1
74,1379.839861,743.6820956,64.85098924,161.210557,2,1
74,1549.521862,706.350055,37.51982519,62.93384943,21,0
75,1454.653954,731.0675835,64.6421675,148.8471371,1,1
75,1379.09045,742.9621655,65.38403942,163.2482321,2,1
75,1548.11643,706.466384,38.1717959,64.02343006,21,0
76,1453.95251,730.5714131,64.48699123,148.5804545,1,1
76,1378.088976,738.3285093,64.94840012,162.8270028,2,1
76,1548.746254,706.3962116,36.57832612,61.04323797,21,0
76,1411.89917,347.9212646,16.93151855,44.48397827,23,0
